Player,Gender,can_frisbee,excersise,Major,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,AVG_stroke,Score,fav_hole,enjoy
1,Male,Yes,3,AET,3,3,4,2,1,4,3,3,2,3,5,4,3.083,1,deer,10
2,Female,No,3,Computer Science,4,4,6,3,3,6,3,4,2,3,4,4,3.833,10,fountain,7
